authorChannelId,authorChannelUrl,authorDisplayName,authorProfileImageUrl,canRate,likeCount,textDisplay,textOriginal,updatedAt,publishedAt,totalReplyCount
UCNBhGlx5W1mXRo6q-NKWbdA,http://www.youtube.com/channel/UCNBhGlx5W1mXRo6q-NKWbdA,Кузя,https://yt3.ggpht.com/ytc/AAUvwngKhM3_LJCCBI1zsgQJsYnUOBIXonhSQrlNSQfR2g=s48-c-k-c0xffffffff-no-rj-mo,True,2090,Очень крутой клип ),Очень крутой клип ),2016-04-11T08:08:47Z,2016-04-11T08:08:47Z,28
UCeP6OrQ1kbYErs76KoK9poQ,http://www.youtube.com/channel/UCeP6OrQ1kbYErs76KoK9poQ,H. Ani,https://yt3.ggpht.com/ytc/AAUvwngr_sbwOPb8oqwLK2lyobA962QhXyspT6OyUki-=s48-c-k-c0xffffffff-no-rj-mo,True,1173,"""Пингвины, штурмуем эскалатор"" 5 баллов, хорошо подобрал слова )))))","""Пингвины, штурмуем эскалатор"" 5 баллов, хорошо подобрал слова )))))",2016-08-31T10:56:39Z,2016-08-31T10:56:39Z,12
UCGeL6Togj61bBlqrGz-08nw,http://www.youtube.com/channel/UCGeL6Togj61bBlqrGz-08nw,Pozitiv MC,https://yt3.ggpht.com/ytc/AAUvwnjZpJeEaFLKp6AisMLX_pf5zxqUcLzwjqcret4L=s48-c-k-c0xffffffff-no-rj-mo,True,1319,"Душевно. Старый, добрый Нойз. Мурашки по коже.","Душевно. Старый, добрый Нойз. Мурашки по коже.",2016-11-22T22:14:11Z,2016-11-22T22:14:11Z,5
UCMKlOAAVg931fc8o7f5pgXw,http://www.youtube.com/channel/UCMKlOAAVg931fc8o7f5pgXw,Фото на дороге,https://yt3.ggpht.com/ytc/AAUvwnjoeHO4_YD6JLkEQlqhsYh5n_sFnW7nO-JTAQ=s48-c-k-c0xffffffff-no-rj-mo,True,626,"3:00 - это, конечно, лучший видеопереход во всей истории русских клипов","3:00 - это, конечно, лучший видеопереход во всей истории русских клипов",2017-01-13T10:13:20Z,2017-01-13T10:13:20Z,9
UCQl0fA5SksxsNJK5EeWvOrw,http://www.youtube.com/channel/UCQl0fA5SksxsNJK5EeWvOrw,bigdeadanimals,https://yt3.ggpht.com/ytc/AAUvwnggGObWu1HX5qVhuctUaGeypBHOh-AhP3CFG9_KDw=s48-c-k-c0xffffffff-no-rj-mo,True,522,"""Следующая станция - международная"" - намек понят)
удачи, Нойз","""Следующая станция - международная"" - намек понят)
удачи, Нойз",2016-06-08T04:08:11Z,2016-06-08T04:08:11Z,8
UCTt1aYtL8sFGViCUSH07CVw,http://www.youtube.com/channel/UCTt1aYtL8sFGViCUSH07CVw,СЕРЕГА ПИРАТ dota архив,https://yt3.ggpht.com/ytc/AAUvwngQ4Q8tJJQAaRXF4pLifKwtHA_4H48WkpN9ukpzSg=s48-c-k-c0xffffffff-no-rj-mo,True,383,"переход на 3:01 крутой.  Прыжок в толпу над вселенной тоже кайфово выглядит. В целом круто. Не понравились только кадры со спины, где нойз качает толпу, что-то читает, а рта не видно, и кадр выглядит как-то не динамично и не в тему","переход на 3:01 крутой.  Прыжок в толпу над вселенной тоже кайфово выглядит. В целом круто. Не понравились только кадры со спины, где нойз качает толпу, что-то читает, а рта не видно, и кадр выглядит как-то не динамично и не в тему",2016-04-11T09:00:38Z,2016-04-11T09:00:38Z,12
UCitNf6ux8wcMpCiSumjBW7g,http://www.youtube.com/channel/UCitNf6ux8wcMpCiSumjBW7g,дима иванов,https://yt3.ggpht.com/ytc/AAUvwnimBVXgmDD-bp-c56jf8PYTz6ZY2FAl1RVlgQ=s48-c-k-c0xffffffff-no-rj-mo,True,513,"на рюкзаке, QR код, если отсканить то там будет написано ""миру мир""","на рюкзаке, QR код, если отсканить то там будет написано ""миру мир""",2017-01-07T11:51:40Z,2017-01-07T11:51:40Z,7
UCp32KLNDFVlCltg_sRcd0pw,http://www.youtube.com/channel/UCp32KLNDFVlCltg_sRcd0pw,Ulyana Ryabtseva,https://yt3.ggpht.com/ytc/AAUvwnhpK3luuI5AQ2YVAtMZMIipqymsWRfoYrTUOUurmLw=s48-c-k-c0xffffffff-no-rj-mo,True,234,"В 2019 все ещё самый пробирающий до мурашек исполнитель, спасибо, Ваня.","В 2019 все ещё самый пробирающий до мурашек исполнитель, спасибо, Ваня.",2019-09-10T17:10:10Z,2019-09-10T17:10:10Z,11
UCgmXaMEj0y16d_WpS0PQzPQ,http://www.youtube.com/channel/UCgmXaMEj0y16d_WpS0PQzPQ,Валерия Соболевская,https://yt3.ggpht.com/ytc/AAUvwngi_oaC1l_wLmTz-QPKERez527qOGJ8262bETUN8A=s48-c-k-c0xffffffff-no-rj-mo,True,286,"Эта песня и клип нереально заряжают энергией!!! Каждый раз до мурашек, особенно момент на 3:00-3:10, вот этот эффект, когда космос превращается в фонарики от телефонов - ааа, это же гениально!!! Обожаю!!!","Эта песня и клип нереально заряжают энергией!!! Каждый раз до мурашек, особенно момент на 3:00-3:10, вот этот эффект, когда космос превращается в фонарики от телефонов - ааа, это же гениально!!! Обожаю!!!",2016-09-30T11:55:31Z,2016-09-30T11:55:31Z,4
UCHQuPtSYSCgFakOMTyc1CNA,http://www.youtube.com/channel/UCHQuPtSYSCgFakOMTyc1CNA,kurtleithauser,https://yt3.ggpht.com/ytc/AAUvwnjGMdhzwK6_h7DyJ7vUxLsxGO9s2ZcOuEgJpwq0Zw=s48-c-k-c0xffffffff-no-rj-mo,True,1739,alright,alright,2019-05-28T19:40:49Z,2016-11-18T10:13:02Z,46
